# Kpath    Energy-Level (in eV)
# Band    1
       0.38426      13.76513
       0.25617      13.21011
       0.12809      12.87521
       0.00000      12.76342
# Band   13
       0.00000      12.76342
       0.12809      12.87521
       0.25617      13.21011
       0.38426      13.76513
       0.51234      14.52733
       0.64043      15.43786
       0.76851      15.98231
       0.89660      15.76632
       1.02469      15.81975
       1.15277      15.68348
       1.15277      15.68348
       1.19806      15.76135
       1.24334      15.97423
       1.28863      16.27847
       1.33391      16.63197
       1.37920      16.99733
       1.42448      17.32985
       1.46977      17.54089
       1.51505      17.30313
       1.56034      17.01285
       1.56034      17.01285
       1.69619      16.76237
       1.83205      16.34849
       1.96791      15.24162
       2.10376      15.45132
       2.23962      15.47044
       2.37547      14.14605
       2.51133      13.31543
       2.64718      12.89210
       2.78304      12.76342
       2.78304      12.76342
       2.89396      13.09860
       3.00489      13.90426
       3.11582      14.94923
       3.22674      16.12403
       3.33767      17.27611
       3.44859      17.12751
       3.55952      15.85838
       3.67044      14.64340
       3.78137      13.96785
       3.78137      13.96785
       3.87194      14.15897
       3.96251      14.70092
       4.05308      15.45972
       4.14365      16.30937
       4.23422      17.17784
       4.32479      17.52330
       4.41536      16.77772
       4.50593      17.00714
       4.59650      17.29415
       4.59650      17.29415
       4.66054      17.33928
       4.72459      17.46996
       4.78863      17.67062
       4.85267      17.89667
       4.91672      17.55085
       4.98076      16.87430
       5.04480      16.26922
       5.10884      15.83989
       5.17289      15.68348
# Band   14
       5.17289      17.07318
       5.10884      17.13858
       5.04480      17.33273
       4.98076      17.64514
       4.91672      18.04746
       4.85267      18.35425
       4.78863      18.82770
       4.72459      18.97235
       4.66054      18.99197
       4.59650      18.99059
       4.59650      18.99059
       4.50593      18.77756
       4.41536      18.59586
       4.32479      18.01115
       4.23422      17.89615
       4.14365      17.50168
       4.05308      16.74481
       3.96251      15.87613
       3.87194      15.01175
       3.78137      14.40634
       3.78137      14.40634
       3.67044      14.83450
       3.55952      15.85838
       3.44859      17.12760
       3.33767      17.27699
       3.22674      16.12403
       3.11582      14.94923
       3.00489      13.90426
       2.89396      13.09860
       2.78304      12.76342
       2.78304      12.76342
       2.64718      13.40709
       2.51133      14.77270
       2.37547      16.42369
       2.23962      17.33430
       2.10376      17.22373
       1.96791      18.77564
       1.83205      18.05934
       1.69619      17.82251
       1.56034      17.34963
       1.56034      17.34963
       1.51505      17.56496
       1.46977      17.63965
       1.42448      17.93967
       1.37920      17.72266
       1.33391      17.51998
       1.28863      17.34104
       1.24334      17.19846
       1.19806      17.10556
       1.15277      17.07318
       1.15277      17.07318
       1.02469      17.37721
       0.89660      17.82074
       0.76851      16.72743
       0.64043      15.66568
       0.51234      14.81843
       0.38426      14.15592
       0.25617      13.60508
       0.12809      13.08377
       0.00000      12.76342
# Band   15
       0.00000      16.05212
       0.12809      16.55509
       0.25617      17.90162
       0.38426      19.74285
       0.51234      19.83754
       0.64043      18.38899
       0.76851      17.59842
       0.89660      18.16361
       1.02469      18.72083
       1.15277      19.23588
       1.15277      19.23588
       1.19806      19.18673
       1.24334      19.04634
       1.28863      18.83228
       1.33391      18.56576
       1.37920      18.26608
       1.42448      17.94932
       1.46977      18.16437
       1.51505      18.39336
       1.56034      18.62533
       1.56034      18.62533
       1.69619      18.28260
       1.83205      18.87411
       1.96791      19.39407
       2.10376      19.72089
       2.23962      18.19843
       2.37547      19.42212
       2.51133      17.84772
       2.64718      16.58430
       2.78304      16.05212
       2.78304      16.05212
       2.89396      16.41150
       3.00489      17.28744
       3.11582      18.42218
       3.22674      19.56367
       3.33767      19.16831
       3.44859      18.27671
       3.55952      18.53315
       3.67044      19.89244
       3.78137      20.93709
       3.78137      20.93709
       3.87194      20.87597
       3.96251      20.67043
       4.05308      20.30643
       4.14365      19.84425
       4.23422      19.39233
       4.32479      19.10052
       4.41536      19.11034
