     #Energy         O_s         O_p         C_s         C_p      Ni_dxy      Ni_dz2
     6.17734     0.00988     0.17671     0.02786     0.48829     0.00085     0.16924
     6.35034     0.00502     0.01324     0.01417     0.02614     0.00092     0.10126
     6.52334     0.00474     0.01408     0.01452     0.02432     0.06876     0.12402
     6.69734     0.00454     0.01654     0.01511     0.02566     0.10802     0.14768
     6.87034     0.00363     0.01735     0.01391     0.02229     0.15500     0.16678
     7.04334     0.00358     0.01539     0.01457     0.01028     0.12394     0.18003
     7.21734     0.00318     0.01102     0.00926     0.00897     0.10674     0.11950
     7.39034     0.00945     0.01109     0.00802     0.00986     0.09459     0.12832
     7.56334     0.00722     0.01059     0.00737     0.00952     0.10232     0.10980
     7.73734     0.00754     0.01048     0.00674     0.00985     0.11040     0.10537
     7.91034     0.00786     0.01067     0.00620     0.01032     0.11632     0.10289
     8.08334     0.00821     0.01273     0.00625     0.00967     0.07384     0.11061
     8.25634     0.00804     0.01055     0.00577     0.00920     0.09704     0.09233
     8.43034     0.00715     0.00814     0.00488     0.00796     0.10448     0.07316
     8.60334     0.00727     0.00774     0.00490     0.00813     0.12246     0.07144
     8.77634     0.00782     0.00765     0.00459     0.00744     0.10000     0.06945
     8.95034     0.00823     0.00777     0.00422     0.00749     0.09051     0.07086
     9.12334     0.01082     0.00977     0.00509     0.00854     0.09668     0.08418
     9.29634     0.01470     0.01635     0.00705     0.01060     0.10522     0.11793
     9.47034     0.00749     0.01681     0.00465     0.00976     0.06435     0.10138
     9.64334     0.00583     0.01395     0.00441     0.00984     0.06043     0.08311
     9.81634     0.00401     0.01442     0.00700     0.01176     0.10787     0.07317
     9.99034     0.00733     0.01865     0.01074     0.01638     0.19157     0.09087
    10.16334     0.00339     0.01676     0.00537     0.01258     0.09461     0.09097
    10.33634     0.00481     0.02154     0.00885     0.01478     0.13820     0.10857
    10.51034     0.00733     0.02605     0.01259     0.01587     0.15918     0.12099
    10.68334     0.00710     0.02071     0.00877     0.01212     0.10984     0.10281
    10.85634     0.00438     0.01491     0.00559     0.00875     0.07249     0.08197
    11.03034     0.01273     0.01252     0.00496     0.01073     0.06843     0.09324
    11.20334     0.02427     0.01167     0.00922     0.02353     0.13755     0.10238
    11.37634     0.02211     0.01391     0.00661     0.02000     0.14033     0.07448
    11.55034     0.02506     0.01549     0.00722     0.01918     0.13653     0.07817
    11.72334     0.02649     0.01503     0.00684     0.01556     0.10577     0.07820
    11.89634     0.03670     0.02404     0.01178     0.01679     0.12330     0.09334
