#K-Path     Energy-Level
#Band-index    1
  2.689      -14.1437
  2.658      -14.1196
  2.626      -14.0887
  2.595      -14.0511
  2.564      -14.0068
  2.532      -13.9558
  2.501      -13.8984
  2.470      -13.8346
  2.438      -13.7645
  2.407      -13.6884
  2.375      -13.6063
  2.344      -13.5185
  2.313      -13.4252
  2.281      -13.3267
  2.250      -13.2233
  2.219      -13.1152
  2.187      -13.0029
  2.156      -12.8868
  2.125      -12.7674
  2.093      -12.6452
  2.062      -12.5210
  2.031      -12.3953
  1.999      -12.2691
  1.968      -12.1431
  1.937      -12.0184
  1.905      -11.8961
  1.874      -11.7773
  1.843      -11.6633
  1.811      -11.5552
  1.780      -11.4543
  1.748      -11.3617
  1.717      -11.2783
  1.686      -11.2048
  1.654      -11.1415
  1.623      -11.0887
  1.592      -11.0459
  1.560      -11.0125
  1.560      -11.0125
  1.526      -10.9859
  1.492      -10.9680
  1.458      -10.9573
  1.424      -10.9523
  1.391      -10.9515
  1.357      -10.9535
  1.323      -10.9572
  1.289      -10.9616
  1.255      -10.9658
  1.221      -10.9693
  1.187      -10.9715
  1.153      -10.9723
  1.153      -10.9723
  1.122      -10.9865
  1.090      -11.0279
  1.059      -11.0941
  1.028      -11.1811
  0.997      -11.2850
  0.966      -11.4018
  0.935      -11.5281
  0.904      -11.6609
  0.872      -11.7979
  0.841      -11.9371
  0.810      -12.0770
  0.779      -12.2164
  0.748      -12.3542
  0.717      -12.4897
  0.685      -12.6221
  0.654      -12.7510
  0.623      -12.8758
  0.592      -12.9961
  0.561      -13.1117
  0.530      -13.2222
  0.498      -13.3275
  0.467      -13.4272
  0.436      -13.5213
  0.405      -13.6095
  0.374      -13.6917
  0.343      -13.7677
  0.312      -13.8376
  0.280      -13.9010
  0.249      -13.9581
  0.218      -14.0086
  0.187      -14.0525
  0.156      -14.0897
  0.125      -14.1203
  0.093      -14.1441
  0.062      -14.1611
  0.031      -14.1714
  0.000      -14.1748
#Band-index    7
  0.000       -0.3900
  0.031       -0.4184
  0.062       -0.5004
  0.093       -0.6282
  0.125       -0.7917
  0.156       -0.9818
  0.187       -1.1915
  0.218       -1.4154
  0.249       -1.6495
  0.280       -1.8909
  0.312       -2.1376
  0.343       -2.3882
  0.374       -2.6415
  0.405       -2.8965
  0.436       -3.1527
  0.467       -3.4093
  0.498       -3.6660
  0.530       -3.9222
  0.561       -4.1776
  0.592       -4.4316
  0.623       -4.6839
  0.654       -4.9340
  0.685       -5.1813
  0.717       -5.4253
  0.748       -5.6653
  0.779       -5.9005
  0.810       -6.1298
  0.841       -6.3524
  0.872       -6.5669
  0.904       -6.7714
  0.935       -6.9641
  0.966       -7.1425
  0.997       -7.3036
  1.028       -7.4438
  1.059       -7.5591
  1.090       -7.6455
  1.122       -7.6991
  1.153       -7.7173
  1.153       -7.7173
  1.187       -7.7154
  1.221       -7.7098
  1.255       -7.7006
  1.289       -7.6880
  1.323       -7.6720
  1.357       -7.6529
  1.391       -7.6309
  1.424       -7.6061
  1.458       -7.5784
  1.492       -7.5476
  1.526       -7.5134
  1.560       -7.4750
  1.560       -7.4750
  1.592       -7.4347
  1.623       -7.3890
  1.654       -7.3364
  1.686       -7.2758
  1.717       -7.2060
  1.748       -7.1261
  1.780       -7.0353
  1.811       -6.9329
  1.843       -6.8188
  1.874       -6.6929
  1.905       -6.5552
  1.937       -6.4060
  1.968       -6.2456
  1.999       -6.0743
  2.031       -5.8925
  2.062       -5.7006
  2.093       -5.4990
  2.125       -5.2882
  2.156       -5.0684
  2.187       -4.8403
  2.219       -4.6042
  2.250       -4.3605
  2.281       -4.1097
  2.313       -3.8523
  2.344       -3.5891
  2.375       -3.3205
  2.407       -3.0475
  2.438       -2.7709
  2.470       -2.4921
  2.501       -2.2125
  2.532       -1.9341
  2.564       -1.6596
  2.595       -1.3926
  2.626       -1.1381
  2.658       -0.9032
  2.689       -0.6976
  2.720       -0.5340
  2.752       -0.4273
  2.783       -0.3900
  2.783       -0.3900
  2.814       -0.4298
  2.845       -0.5438
  2.877       -0.7189
  2.908       -0.9399
  2.939       -1.1937
  2.970       -1.4706
  3.001       -1.7633
  3.033       -2.0667
  3.064       -2.3768
  3.095       -2.6910
  3.126       -3.0071
  3.157       -3.3231
  3.189       -3.6375
  3.220       -3.9492
  3.251       -4.2570
  3.282       -4.5597
  3.313       -4.8563
  3.345       -5.1459
  3.376       -5.4274
  3.407       -5.6998
  3.438       -5.9617
  3.469       -6.2118
  3.501       -6.4485
  3.532       -6.6704
  3.563       -6.8753
  3.594       -7.0610
  3.625       -7.2250
  3.657       -7.3646
  3.688       -7.4770
  3.719       -7.5596
  3.750       -7.6102
  3.781       -7.6273
  3.781       -7.6273
  3.813       -7.6251
  3.844       -7.6188
  3.875       -7.6083
  3.907       -7.5939
  3.938       -7.5757
  3.969       -7.5543
  4.001       -7.5300
  4.032       -7.5033
  4.064       -7.4750
  4.095       -7.4459
  4.126       -7.4170
  4.158       -7.3894
  4.189       -7.3644
  4.220       -7.3435
  4.252       -7.3280
  4.283       -7.3191
  4.314       -7.3178
  4.346       -7.3243
  4.377       -7.3381
  4.408       -7.3578
  4.440       -7.3814
  4.471       -7.4062
  4.502       -7.4293
  4.534       -7.4480
  4.565       -7.4602
  4.597       -7.4646
  4.597       -7.4646
  4.629       -7.4667
  4.661       -7.4734
  4.693       -7.4841
  4.725       -7.4985
  4.757       -7.5158
  4.789       -7.5355
  4.821       -7.5566
  4.853       -7.5786
  4.885       -7.6006
  4.917       -7.6221
  4.949       -7.6423
  4.981       -7.6609
  5.013       -7.6774
  5.045       -7.6914
  5.077       -7.7025
  5.109       -7.7107
  5.141       -7.7156
  5.173       -7.7173
#Band-index    8
  5.173       -3.3203
  5.141       -3.3289
  5.109       -3.3541
  5.077       -3.3949
  5.045       -3.4492
  5.013       -3.5148
  4.981       -3.5890
  4.949       -3.6691
  4.917       -3.7526
  4.885       -3.8367
  4.853       -3.9191
  4.821       -3.9976
  4.789       -4.0702
  4.757       -4.1350
  4.725       -4.1905
  4.693       -4.2352
  4.661       -4.2679
  4.629       -4.2880
  4.597       -4.2948
  4.597       -4.2948
  4.565       -4.3292
  4.534       -4.3908
  4.502       -4.4472
  4.471       -4.4889
  4.440       -4.5115
  4.408       -4.5121
  4.377       -4.4886
  4.346       -4.4397
  4.314       -4.3650
  4.283       -4.2652
  4.252       -4.1415
  4.220       -3.9961
  4.189       -3.8313
  4.158       -3.6498
  4.126       -3.4545
  4.095       -3.2484
  4.064       -3.0346
  4.032       -2.8167
  4.001       -2.5988
  3.969       -2.3853
  3.938       -2.1821
  3.907       -1.9962
  3.875       -1.8362
  3.844       -1.7115
  3.813       -1.6319
  3.781       -1.6043
  3.781       -1.6043
  3.750       -1.6022
  3.719       -1.5958
  3.688       -1.5852
  3.657       -1.5704
  3.625       -1.5514
  3.594       -1.5284
  3.563       -1.5013
  3.532       -1.4704
  3.501       -1.4356
  3.469       -1.3973
  3.438       -1.3554
  3.407       -1.3101
  3.376       -1.2618
  3.345       -1.2106
  3.313       -1.1569
  3.282       -1.1010
  3.251       -1.0433
  3.220       -0.9841
  3.189       -0.9241
  3.157       -0.8638
  3.126       -0.8037
  3.095       -0.7446
